operacao|ctefctef|cnpjctef|empresactef|valorCtef|valorAceitoCaixa
1004751||13.225.183/0001-95|MUNDIAL CONSTRUTORA E LOCACAO EIRELI - EPP|nan|481531,12
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|0,00
0293831||00.700.782/0001-71|TECNOCON TECNOLOGIA EM CONSTRUÇÕES LTDA|nan|-12191,84
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|0,00
0218721||05.602.941/0001-19|TRANA TECNOLOGIA DA INFORMAÇÃO E CONSTRUÇÕES LTDA - NOVA LIDERANÇA: ENGETRAN ENGENHARIA. PARTE II|nan|1793666,65
0222621||07.623.987/0001-40|FF CONSTRUÇÕES E EMPREENDIMENTOS LTDA|nan|2756480,86
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|-4603194,84
0218723||35.229.814/0001-87|EPOCA ENGENHARIA IMPORTAÇÃO COM LTDA|0,00|1499243,30
0315751||03.821.922/0001-58|SOL NASCENTE SERVIÇOS E CONSTRUÇÕES LTDA|nan|0,00
0224980||02.899.027/0001-93|AMALFI COMERCIAL E CONSTRUTORA LTDA|nan|995623,98
0224980||18.640.071/0001-14|CONSORCIO POTIGUAR-PLANICIE|nan|11319829,68
0218721|069/CIDADES/2009|13.715.325/0001-00|ENGETRAN ENGENHARIA S/A|nan|16251111,18
0218721|056/CIDADES/2009|07.205.073/0001-69|CONSTRUTORA BETA S/A|nan|3820466,27
0315751||03.821.922/0001-58|SOL NASCENTE SERVIÇOS E CONSTRUÇÕES LTDA|nan|0,00
0315751||03.821.922/0001-58|SOL NASCENTE SERVIÇOS E CONSTRUÇÕES LTDA|nan|0,00
0218721||04.410.021/0001-36|GEOSOLOS CONSULTORIA, PROJETOS E SERVIÇOS LTDA|nan|1499999,96
0293831||00.700.782/0001-71|TECNOCON TECNOLOGIA EM CONSTRUÇÕES LTDA|nan|541892,03
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|0,00
0424431|201412100|06.938.660/0001-02|MEMP CONSTRUÇÕES LTDA|0,00|51542898,76
0222620||07.583.053/0001-21|EKOS BRASIL ENGENHARIA LTDA - EPP|nan|0,00
0315751||03.821.922/0001-58|SOL NASCENTE SERVIÇOS E CONSTRUÇÕES LTDA|nan|0,00
0352695||04.245.430/0001-24|PEC - POLAR EMPREENDIMENTOS E CONSULTORIA LTDA|nan|2105295,29
1015982|2023.05.3.01-INF1|15.267.710/0001-50|Tomaz Construções Eireli|68622,14|68622,14
0217984||07.040.108/0001-57|COMPANHIA DE ÁGUA E EGOTO DO CEARÁ- CAGECE|nan|103208,82
0332375||23.459.100/0001-86|DEMOLIÇÃO E CONSTRUÇÃO VIRGEM PODEROSA LTDA|nan|22516,60
0218723||41.397.639/0001-30|CONSORCIO GAIA E ECOSAM LTDA|0,00|1129785,79
0424415|011/2015-SEBRAS|07.484.203/0001-40|FJ CONSTRUÇÕES E EMPREENDIMENTOS EIRELI - EPP|nan|29576,08
0363291||06.925.267/0001-76|CAD CONSTRUÇÕES LTDA.|nan|1290499,34
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|14873652,37
0302561||07.319.254/0001-16|DUPLO M CONSTRUTORA LTDA.|nan|0,00
0302561|008/2016|06.960.687/0001-93|PHD CONSTRUCOES E SERVICOS LTDA - ME|5871283,18|5871283,18
0315751||03.821.922/0001-58|SOL NASCENTE SERVIÇOS E CONSTRUÇÕES LTDA|nan|305286,37
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|0,00
0218716||06.960.687/0001-93|PHD CONSTRUCOES E SERVICOS LTDA - ME|nan|3264970,74
0302561||61.522.512/0001-02|CONSTRUÇÕES E COMÉRCIO CAMARGO CORREA S/A|nan|29028762,11
0218716||05.602.941/0001-19|CONSÓRCIO TRANA-PB|nan|2330439,42
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|0,00
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|0,00
1002115||05.816.398/0001-52|L&J Serviços e Construções Ltda.|nan|0,00
0436833|14/SRH/CE/2015|04.299.154/0001-87|CBC - CONSTRUTORA BATISTA CAVALCANTE LTDA|nan|0,00
0315751||03.821.922/0001-58|SOL NASCENTE SERVIÇOS E CONSTRUÇÕES LTDA|nan|0,00
0222619||05.602.941/0001-19|TRANA TECNOLOGIA DA INFORMAÇÃO E CONSTRUÇÕES LTDA|nan|0,00
0370504|001/18|15.593.029/0001-00|FTS CONSTRUÇÕES E SERVIÇOS LTDA EPP|0,00|233383,19
0302561||07.643.224/0001-60|CONSTRUTORA SOARES LEITE LTDA - ME|nan|220231,85
0218721|071/CIDADES/2009|13.715.325/0001-00|ENGETRAN ENGENHARIA S/A|nan|0,00
0218723||63.389.217/0001-55|CONSTRUTORA CETRO LTDA.|0,00|12883672,54
0409099|018/SEINFRA/2013|18.951.170/0001-17|CONSÓRCIO CETENCO - ACCIONA|nan|0,00
0333751||10.510.277/0001-18|RAÇA CONSTRUÇÕES, TRANSPORTES E SERVIÇOS LTDA|nan|280449,74
0302561||08.237.585/0001-70|ATHOS CONSTRUÇÕES LTDA.|1342208,40|1476042,62
0218716||73.785.032/0001-13|ISR CONSTRUÇÕES LTDA|nan|0,00
1014987||09.494.020/0001-30|CONSTRUTORA LIDERANCA EIRELI - ME|nan|478589,01
0361281|10.14.07.17.01|11.638.690/0001-25|CONSTRUTORA ASTRAL LTDA|0,00|608639,33
0424373|2014.12.10.002|06.866.305/0001-67|Nabla Construções Ltda|0,00|9063198,05
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|0,00
0363291||07.605.850/0001-62|MARACANAÚ|nan|21950,00
0218721||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.CONTRATO ENCERRADO - SUBSTITUIDO PELA EMPRESA TRANA ENGENHARIA. PARTE I|nan|5661828,20
0302561||04.245.430/0001-24|PEC - POLAR EMPREENDIMENTOS E CONSULTORIA LTDA|nan|464763,92
0352676||06.280.961/0001-83|CONCRETA ENGENHARIA LTDA|nan|0,00
0312265||07.199.549/0001-04|Construtora Limpex LTDA|nan|522469,87
0313148||10.298.325/0001-56|QUEIROZ ARRUDA CONSTRUÇÕES E LOCAÇÕES LTDA|nan|313532,24
0375348||02.429.034/0001-21|JEAB CONSTRUÇÕES E REFORÇOS ESTRUTURAIS LTDA|nan|0,00
0352695||07.205.073/0001-69|CONSTRUTORA BETA S/A|nan|149634,58
0218723||00.700.782/0001-71|TECNOCON TECNOLOGIA EM CONSTRUÇÕES LTDA|0,00|1610737,39
0222621||13.031.257/0001-52|CONSTRUTORA CELI LTDA|nan|20637950,39
0222620||07.510.485/0001-02|MERCURIUS ENGENHARIA LTDA.|nan|0,00
0361281|10..13.05.20.001-FITEC|03.006.548/0001-37|COSAMPA PROJETOS E CONSTRUÇÕES LTDA|nan|10766,67
0222621||09.444.761/0001-07|CENTRO DE INCENTIVO À VIDA - CINV|nan|768942,99
0218721||07.047.251/0001-70|COELCE - COMPANHIA ENERGÉTICA DO CEARÁ|nan|958746,66
1014987||09.494.020/0001-30|CONSTRUTORA LIDERANCA EIRELI - ME|nan|58140,09
0222915||15.565.179/0001-00|FINANCIAL Construtora|nan|3752942,59
0222915||05.215.809/0001-54|QUETAL Construtora|nan|684711,76
0222915||04.508.765/0000-19|Constr. Mediterrâneo|nan|234695,09
0222915||03.953.244/0001-87|CONSTEC Construções|nan|212785,54
0222915||09.458.011/0001-94|CONCEITO Engenharia|nan|4270293,10
0424440||00.141.930/8000-39|Sobrado Construção Ltda|nan|16468354,90
0222915||07.564.641/0001-18|CONEPLAN Constr e Planej.|nan|1766175,84
0222915||04.478.946/0001-19|RIMA Ambiental|nan|220100,94
0222915||04.607.970/0001-00|PLANACON Construtora|nan|665693,28
0222915||01.618.204/0001-53|ENGEPAR Eng e Part|nan|2422721,43
0222915||01.551.589/0001-89|ANFER Constr e Comercio|nan|5046035,63
0222915||04.845.630/0001-18|HS Eng. Ltda|nan|1445407,80
0222915||03.953.244/0001-87|CONSTEC Construções|nan|444082,81
1013845|20/06/2016|12.209.627/0001-36|RTS CONSTRUCOES E SERVIÇOS LTDA|nan|375996,01
0222827||10.333.399/0001-86|IEDES - INSTITUTO ENSINAR DE DESEMVOLVIMENTO SOCIAL|nan|680000,00
0222827||13.959.986/0001-73|SERTENGE LTDA|nan|1637958,79
0222827||13.959.986/0001-73|SERTENGE LTDA.|nan|611529,81
0402227||00.999.591/0001-52|AGC - Construções e Empreendimentos Ltda.|nan|4097241,25
1001408|CP 001/13|05.017.281/0001-09|JMD CONSTRUÇÕES LTDA.|0,00|18578,18
1001246||08.057.706/0001-00|LBR CONSTRUCOES EVENTOS E LOCACOES LTDA ME|0,00|292214,68
0425855||07.266.893/0001-60|CONSTRUTORA JUSTO JUNIOR LTDA|nan|1107614,15
0425855||15.290.685/0001-25|PROSERV - PROJETOS E PRESTAÇÃO DE SERVIÇOS LTDA|nan|15000,00
0389535||12.044.788/0001-17|ABRAV CONSTRUCOES SERVICOS EVENTOS E LOCACOES LTDA - EPP|nan|2912680,20
0389531||15.290.685/0001-25|PROSERV - PROJETOS E PRESTAÇÃO DE SERVIÇOS LTDA|nan|115567,07
0397065||07.085.315/0001-28|F.P. CONSTRUTORA LTDA|298502,28|272516,00
0338611||08.369.786/0001-20|MPA CONSTRUÇÕES E PARTICIPAÇÕES LTDA.|nan|2039749,97
0338611||10.697.540/0001-20|CONSTRUTORA LAZIO LTDA|nan|1414996,54
1021545|149/2015|06.250.981/0001-01|Roberto Jorge Garcia - EPP|0,00|2637047,63
0408727||20.454.848/0001-06|Consórcio ARTEC|nan|65137913,79
0352661||10.921.092/0001-04|EFICIENCE CONSULTORIA, ENGENHARIA E PROJETOS LTDA|nan|338637,02
0352661||18.881.108/0001-04|Consórcio Topázio/Sobrado|nan|2276077,68
0398476||17.376.138/0001-92|ENGESOLO ENGENHARIA LTDA 20/2014|nan|441439,21
0398476|105|25.570.573/0001-81|PRAXIS PROJETOS E CONSULTORIA LTDA|nan|442946,15
0301526|051/2008|09.150.644/0001-30|NMC PROJETOS E ENGENHARIA|nan|443034,30
0301526||00.204.293/0001-29|FUNDACAO ISRAEL PINHEIRO|0,00|40175,95
0301526||17.376.138/0001-92|ENGESOLO ENGENHARIA LTDA|0,00|1020631,81
0398476||65.213.795/0001-61|CBR CONSTRUTORA LTDA CT043/2014|nan|15344192,18
0218723||04.410.021/0001-36|GEOSOLOS CONSULTORIA, PROJETOS E SERVIÇOS LTDA|0,00|51935,74
1006726||04.326.648/0001-03|NG Engenharia e Construções LTDA|nan|41547,58
0192881||08.231.662/0001-84|VERSATIL ENGENHARIA LTDA|nan|7141570,99
0351030|20520|80.024.557/0001-00|VIAPLAN Engenharia LTDA|nan|14309144,88
0351030|20707|33.160.102/0001-23|ENCIBRA S.A Estudos e Projetos de Engenharia|nan|861495,53
0351030|21902|80.024.557/0001-00|VIAPLAN Engenharia LTDA|nan|11052556,26
0218827||52.191.228/0001-00|AN ENGENHARIA E CONSTRUCOES LTDA|nan|1368284,12
0218827|041/2008|19.465.574/0001-63|ARAGUAIA ENGENHARIA LTDA|nan|14449626,13
0218827|041/2008|19.465.574/0001-63|ARAGUAIA ENGENHARIA LTDA|nan|95733667,51
0218827||58.645.219/0001-58|COBRAPE COMPANHIA BRASILEIRA DE PROJETOS E EMPREENDIMENTOS|nan|1764000,00
0218827|224/2015|01.781.032/0001-34|RODVIAS ENGENHARIA MUNICIPAL LTDA|nan|1390689,00
0301513|066/2023|26.519.752/0001-57|GP Engenharia e Topografia LTDA|485530,20|485530,20
0352746||08.918.454/0001-58|ELLOS GESTAO SOCIAL E DESENVOLVIMENTO HUMANO LTDA|nan|1425176,86
0352746||04.593.605/0001-94|CONSÓRCIO EMPRENGE CONSTRUTORA LTDA ITATIAIA ENG LTDA|nan|9091365,54
0352746||70.073.275/0001-30|GEOSISTEMAS ENGENHARIA E PLANEJAMENTO LTDA|nan|774719,35
0352746||04.593.605/0001-94|EMPRENGE CONSTRUTORA LTDA|nan|9608497,14
0352746||00.783.739/0001-17|MELO MOREIRA CONT. E ENG. LTDA|nan|3323679,40
0301507|164/2011|11.630.923/0001-43|CBS Const. Baiana de Saneamento Ltda.|nan|12424107,89
0350965||04.937.085/0001-90|	ORIN - EDUCAÇÃO E DESENVOLVIMENTO INTEGRAL|nan|320642,50
0350965|281/2011|01.099.606/0001-99|OLIVEIRA SANTANA CONSTRUÇÕES LTDA|0,00|4161245,34
0350965|282/2011|01.099.606/0001-99|OLIVEIRA SANTANA CONSTRUÇOES LTDA|0,00|1633497,05
0350965|283/2011|04.954.329/0001-42|CONSTRUTORA FRANCO ARAUJO|0,00|1488595,96
0350771|460002031|12.066.286/0001-97|HYDROSTEC TUBOS E EQUIPAMENTOS LTDA - Material|nan|28349998,40
0350771|460002140|06.017.891/0001-75|PB CONSTRUÇÕES LTDA - OBRA - DISTRATADO|nan|5177942,01
0350771|460002795|28.672.087/0001-62|SAINT-GOBAIN CANALIZAÇÃO LTDA - MATERIAL|nan|305712,00
0408654|460007626/15|04.954.329/0001-42|CONSTRUTORA FRANCO ARAUJO|nan|18613285,51
0218245|460011219|04.954.329/0001-42|CONSTRUTORA FRANCO ARAUJO LTDA|25990527,72|5079510,25
0218245|460013974|03.174.004/0001-84|PJ CONSTRUÇOES E TERRAPLANAGEN LTDA|18418395,27|2640563,60
0350977|017/2012|68.528.017/0001-50|CONSTRUTORA COWAN S/A|nan|65247844,44
0350977|117/2012|13.937.479/0001-39|HYDROS ENGENHARIA E PLANEJAMENTO S/A|nan|2878120,40
0394940|a|13.578.869/0001-60|MRM CONSTRUTORA LTDA|0,00|30067526,60
0408703|460007519|14.989.665/0001-84|BARBOSA E SILVA CONSTRUÇÕES|0,00|95344,33
0421922|014/15|20.051.915/0001-33|DSOARES EMPREENDIMENTOS E CONSTRUÇÕES EIRELI - EPP|123083,03|123083,03
0218855|002/2017|09.655.659/0001-50|SZ CONSTRUTORA LTDA|0,00|1363543,12
0218855|044/2015|07.849.802/0001-10|CRL ENGENHARIA LTDA|0,00|14233002,41
0218855|082/2015|10.333.399/0001-86|IEDES-INSTITUTO ENSINAR DE DESENVOLVIMENTO SOCIAL|0,00|863040,61
0282632|002/2010|00.579.733/0001-22|MM ENGENHARIA LTDA|nan|6176106,96
0402532|004/2015|99.999.999/9999-99|Consórcio Bacia Rio dos Sinos|0,00|6358340,85
0351030|||Diversas empresas|nan|374029,72
0402492|01/2015|88.849.773/0001-98|STE SERVIÇOS TECNICOS DE ENGENHARIA|0,00|3473438,44
0402526|004/2015|00.000.000/0000-00|Consórcio Metroplan Bacia Rio Gravataí - Cohidro, Encop e MJ|nan|4646217,31
0402494|21947/2015|40.174.864/0001-44|CONCRESOLO ENGENHARIA LTDA|0,00|1681696,24
0402494|21907, 21908 e 21909|80.359.771/0001-09|CONSORCIO PINHEIRINHO (SIAL E GEOSONDA)|0,00|120736112,94
0413181|117/16|07.534.344/0001-20|MMG Comércio e Serviços Ltda|nan|132289,74
0413181|118/16|05.204.509/0001-70|JOPLAS Industrial Ltda|nan|926396,64
0292752||83.102.343/0001-94|Prefeitura Municila de Brusque|nan|33927,00
0292752|||Construtora Costa Gomes|nan|1292271,92
0292752||24.946.352/0001-00|JM Terraplanagem e Construções Ltda|nan|2051000,92
0292752||76.614.254/0001-61|Sulcatarinense Mineração, Artefatos de Cimentos, Britagem e Construções Ltda.|nan|6324290,56
0292752||77.954.543/0001-72|Catedral Construções Civis Ltda|nan|12162434,46
0292752||77.954.543/0001-72|Catedral Construções Civis Ltda|nan|6177961,45
0402553|21948|40.174.868/0001-44|Concresolo Engenharia Ltda|nan|2028041,17
0218716|017/2016|17.886.840/0001-04|DAMASCENO E ROCHA ADVOGADOS ASSOCIADOS|1485000,00|974566,81
0402096||06.086.233/1001-62|CONSÓRCIO ENPAV - DP BARROS|nan|66048794,81
0420061|072/SIURB/15|23.299.446/0001-64|CONSÓRCIO DP BARROS - ARVEK|0,00|3502081,36
0420061|073/SIURB/15|09.033.330/0001-58|COMPEC GALASSO ENGENHARIA E CONSTRUÇÕES LTDA|0,00|220030,09
0218610||09.408.705/0001-17|Consórcio Santa Bárbara - EIT|nan|35905842,03
0218844|013/2010-SEHAB|60.625.829/0001-01|CONSORCIO PASSARELLI  / H GUEDES|0,00|16982673,69
0218611||49.577.752/0001-09|Consórcio Paez de Lima/CROMA|nan|23784200,79
0218844|025/2010-SEHAB|57.510.596/0001-97|CONSÓRCIO PAZ DE LIMA / SIMÉTRICA|0,00|18075903,72
0218844|2010-046.896-4|57.510.596/0001-97|CONSÓRCIO PAZ DE LIMA - SIMÉTRICA|0,00|25121871,36
0222669||10.788.628/0001-57|DELTA Construções S/A.|nan|6298045,85
0222669||48.765.747/0001-67|CONCRELAR CONSTRUÇÕES E COMÉRCIO LTDA|nan|2435820,62
0222669||43.693.761/0001-89|SOEMEG – Terraplanagem, Pavimentação e Construções Ltda|nan|3412619,89
0222669||53.063.798/0001-87|ETEMP - ENGENHARIA INDÚSTRIA E COMÉRCIO LTDA|nan|6188403,32
0222669||53.063.798/0001-87|ETEMP - ENGENHARIA INDÚSTRIA E COMÉRCIO LTDA|nan|5636764,00
0222669||46.319.000/0001-50|PROGUARU Progresso e Desenvolvimento de Guarulhos S.A.|nan|1968442,84
0222669||46.319.000/0001-50|PROGUARU Progresso e Desenvolvimento de Guarulhos S.A.|nan|2034450,18
0222669||03.519.306/0001-47|Teorema Engenharia e Construções LTDA|nan|194131,98
0222669||09.033.330/0001-58|COMPEC E GALASSO ENGENHARIA E CONSTRUÇOES LTDA|nan|8393392,56
0222669||53.063.798/0001-87|ETEMP - ENGENHARIA INDÚSTRIA E COMÉRCIO LTDA.|nan|3241839,68
0222669||46.319.000/0001-50|PROGUARU Progresso e Desenvolvimento de Guarulhos S.A.|nan|3571981,75
0222669||60.730.645/0001-01|EPT Engenharia e Pesquisas Tecnológicas Ltda.|nan|463399,35
0222669||60.730.645/0001-01|EPT Engenharia e Pesquisas Tecnológicas Ltda.|nan|189903,07
0222669||46.319.000/0001-50|PROGUARU Progresso e Desenvolvimento de Guarulhos S.A.|nan|291580,59
0222669||03.519.306/0001-47|Teorema Engenharia e Construções LTDA|nan|1191738,56
0222669||58.853.169/0001-74|Potenza Engenharia e Construção Ltda.|nan|393369,33
0222669||04.556.242/0001-17|IBEC ENGENHARIA|nan|24499,86
0402496|22007|04.955.887/0001-22|VENTURI & ZEN LTDA|nan|5846296,81
0402501|02/2015|03.264.493/0001-65|Dang Construtora de Obras Ltda|0,00|17139511,28
0436534|22,290|02.774.220/0001-06|TERPASUL CONSTRUTORA DE OBRAS LTDA|nan|47953553,81
0302574|023/2010|53.063.798/0001-87|ETEMP ENGENHARIA, INDUSTRIA E COMÉRCIO LTDA|0,00|51327494,90
0302574|016/2010|12.640.839/0001-79|CONSÓRCIO ENGELUX E GALVÃO ENGENHARIA|0,00|68209788,07
0237810|||AMAFI|nan|693766,41
0237810||01.264.703/8001-30|GALVAO MARINHO|nan|2889453,73
1006726||10.672.793/0001-49|ART PROJETOS CONSTRUÇÕES|nan|1349233,66
1019187||04.248.271/0001-11|Goiânia Mauá Construtora LTDA|nan|1722482,57
0426289||04.610.079/0001-23|Geoser Serviços Geologicos e representações LTDA|nan|3000,00
0424365||08.262.227/0001-17|CSANEO Engenharia e Consultoria Ambiental|nan|1011305,38
0424365||08.262.227/0001-17|CSANEO Engenharia e Consultoria Ambiental|nan|674203,31
0424365||04.924.847/0001-13|Construtora Mosaico|nan|15256730,73
0424365||03.482.383/0001-70|Construtora BETA|nan|15582836,68
0436534|22,493|02.774.220/0001-06|TERPASUL CONSTRUTORA DE OBRAS LTDA|nan|27196455,44
0302561||04.245.430/0001-24|PEC POLAR EMPREENDIMENTOS E CONSULTORIA LTDA|nan|207636,08
0302561||61.522.512/0001-02|Construções e Comércio Camargo Correia|nan|7679078,75
0292891|CT-048/2014|26.279.935/0001-42|KTM ADMINISTRAÇÃO E ENGENHARIA LTDA|nan|24964132,80
0352778|1038/2012|07.861.146/0001-70|CONSTRUTORA PLANICIE|0,00|16963659,07
0352778|||PM CAMPINA GRANDE|nan|626000,00
0352768|137/2016|42.237.412/0001-90|CONSTRUTORA IRMAO LEAL LTDA ME|0,00|7854007,59
1003472||04.699.860/0001-16|FLÁVIO BOABAID BERTAZZO|nan|573815,60
1027369||02.200.917/0001-65|COPA ENGENHARIA LTDA|nan|-387475,80
0243265|196/16|07.266.994/0001-31|PINA - Arquiterua Eirelo - ME|nan|184159,12
